node_a,node_b,bidirectional_n
101816,941,2
1045980,941,1
1061215,941,1
1098358,941,5
1101472,941,1
1130496,941,2
1132076,941,2
1143856,941,1
1168815,941,5
1174742,941,4
1208350,941,8
1237943,941,3
1261486,941,1
1283332,941,4
1297877,941,3
1350922,941,2
1372177,941,4
1386541,941,3
1394838,941,10
1400547,941,2
1414966,941,1
1427875,941,5
1428997,941,3
1432187,941,1
143415,941,10
1452405,941,2
149057,941,6
1510967,941,3
1514680,941,1
1528090,941,2
1573358,941,2
1588767,941,4
1597848,941,3
1607944,941,4
1660523,941,3
1682503,941,1
1683311,941,2
1692925,941,4
1728432,941,4
1730554,941,5
1735326,941,2
1791838,941,1
1813262,941,1
1813380,941,2
1823484,941,26
1861684,941,2
1875369,941,1
1875935,941,1
1903719,941,1
1908858,941,1
191677,941,5
1943228,941,5
1946314,941,2
1960107,941,1
1971223,941,2
1991168,941,4
2010383,941,1
2079003,941,3
215916,941,1
246199,941,7
257896,941,1
273492,941,4
295863,941,2
303603,941,4
327024,941,1
353069,941,3
376187,941,2
38622,941,4
415477,941,2
444297,941,2
449158,941,2
455154,941,2
518531,941,23
537824,941,1
546233,941,3
566662,941,3
567841,941,2
580064,941,4
590105,941,1
597706,941,2
619203,941,2
640904,941,2
64694,941,3
677582,941,3
687631,941,3
689330,941,2
699874,941,1
704362,941,2
710414,941,9
711179,941,25
724433,941,2
737575,941,2
74616,941,3
78603,941,20
813540,941,4
839736,941,2
856590,941,1
861939,941,2
872243,941,4
874887,941,2
880807,941,1
916602,941,4
918738,941,2
935776,941,2
941,95161,2
941,external941,2
105229,2672,2
105732,2672,5
1177549,2672,6
1300247,2672,2
1312277,2672,2
1319731,2672,2
1322523,2672,4
1342832,2672,2
1349217,2672,5
1349992,2672,8
1381070,2672,4
1416673,2672,3
1432488,2672,2
1461327,2672,1
1522107,2672,4
1526716,2672,1
153470,2672,4
1611783,2672,4
1660523,2672,5
1687983,2672,2
1695328,2672,2
169797,2672,1
1724998,2672,9
1728432,2672,1
1747170,2672,2
1750125,2672,1
17612,2672,31
1774855,2672,2
1822625,2672,2
1835505,2672,2
1841960,2672,1
184869,2672,4
1944302,2672,4
199078,2672,1
1997632,2672,5
2007219,2672,3
2081231,2672,3
224128,2672,2
